name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Your Man,Nectar,Joji,2020-09-24,163758,76,0.785,0.624,0.785,0.818,0.149,0.149,-8.711,0.099,117.98,4,2020-10-02,2020-10-09
Gimme Love,Nectar,Joji,2020-09-24,214557,70,0.484,0.695,0.484,0.632,0.0243,0.209,-6.917,0.0976,126.384,3,2020-10-02,2020-10-09
Lets Link,Lets Link,WhoHeem,2020-08-20,159955,73,0.839,0.00667,0.839,0.683,0.0,0.241,-9.232,0.165,120.003,4,2020-10-02,2020-10-09
cardigan,folklore,Taylor Swift,2020-07-24,239560,85,0.613,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4,2020-10-02,2020-10-09
Take You Dancing,Take You Dancing,Jason Derulo,2020-07-22,190306,91,0.789,0.0332,0.789,0.711,0.0,0.0876,-4.248,0.041,112.985,4,2020-10-02,2020-10-09
One Of Them Girls,One Of Them Girls,Lee Brice,2020-04-10,188893,80,0.643,0.294,0.643,0.79,0.0,0.107,-6.079,0.0462,95.987,4,2020-10-02,2020-10-09
Beautiful Crazy,This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,193200,81,0.551,0.676,0.551,0.402,0.0,0.0928,-7.431,0.0262,103.313,4,2020-10-02,2020-10-09
Tongue Tied,Never Trust a Happy Song,Grouplove,2011-09-02,218013,82,0.56,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4,2020-10-02,2020-10-09
Falling,Fine Line,Harry Styles,2019-12-13,240133,88,0.567,0.839,0.567,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4,2020-10-02,2020-10-09
Tap In,Tap In,Saweetie,2020-06-17,139413,81,0.954,0.00576,0.954,0.696,0.000498,0.0754,-7.117,0.204,100.036,4,2020-10-02,2020-10-09
Star Shopping,Star Shopping,Lil Peep,2019-04-19,142000,87,0.585,0.0967,0.585,0.471,0.0184,0.115,-9.934,0.0616,93.099,4,2020-10-02,2020-10-09
drunk face,Tickets To My Downfall,Machine Gun Kelly,2020-09-25,143900,74,0.691,0.0282,0.691,0.77,0.0,0.497,-4.578,0.0367,90.024,4,2020-10-02,2020-10-09
Inhale,A N N I V E R S A R Y,Bryson Tiller,2020-10-02,171173,67,0.498,0.321,0.498,0.705,0.000441,0.414,-8.088,0.392,156.519,4,2020-10-02,2020-10-09
Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,2020-10-01,203064,91,0.702,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,4,2020-10-02,2020-10-09
Money Trees,"good kid, m.A.A.d city",Kendrick Lamar,2012,386906,77,0.716,0.0703,0.716,0.531,0.0,0.224,-7.355,0.122,71.994,4,2020-10-02,2020-10-09
